Rank,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Kansas City Chiefs,2,3,1,1,1,0,0,1,20.0,20.0,79.3%,KC,4,2020
2,Philadelphia Eagles,5,2,1,1,1,0,0,1,18.0,18.0,43.3%,PHI,4,2020
3,Los Angeles Rams,5,1,0,1,0,0,0,1,11.0,11.0,1.4%,LAR,4,2020
4,New York Jets,0,3,0,0,1,0,0,1,8.0,8.0,94.9%,NYJ,4,2020
5,Indianapolis Colts,1,1,0,0,0,0,0,1,7.0,7.0,6.9%,IND,4,2020
6,Denver Broncos,6,0,0,0,0,0,0,1,6.0,6.0,7.8%,DEN,4,2020
7,San Francisco 49ers,3,1,0,0,0,0,0,1,6.0,6.0,99.0%,SF,4,2020
8,Tampa Bay Buccaneers,2,1,1,1,0,0,0,1,6.0,6.0,6.5%,TB,4,2020
9,Buffalo Bills,2,0,2,2,0,0,0,1,6.0,6.0,51.7%,BUF,4,2020
10,Baltimore Ravens,3,0,1,1,0,0,0,1,6.0,6.0,97.7%,BAL,4,2020
11,Cleveland Browns,3,1,2,2,0,0,0,1,5.0,5.0,97.8%,CLE,4,2020
12,Minnesota Vikings,3,0,1,0,0,0,0,1,5.0,5.0,33.7%,MIN,4,2020
13,Cincinnati Bengals,3,1,0,0,0,0,0,1,5.0,5.0,58.3%,CIN,4,2020
14,New York Giants,2,0,1,2,0,0,0,1,5.0,5.0,3.3%,NYG,4,2020
15,Green Bay Packers,4,0,0,0,0,0,0,1,5.0,5.0,10.2%,GB,4,2020
16,Seattle Seahawks,1,2,0,1,0,0,0,1,5.0,5.0,32.1%,SEA,4,2020
17,New England Patriots,1,0,1,1,0,0,0,1,4.0,4.0,2.9%,NE,4,2020
18,Washington Commanders,1,2,0,0,0,0,0,1,4.0,4.0,1.0%,WAS,4,2020
19,Los Angeles Chargers,0,1,0,0,1,0,0,1,4.0,4.0,9.6%,LAC,4,2020
20,New Orleans Saints,3,1,0,0,0,0,0,1,4.0,4.0,64.3%,NO,4,2020
21,Miami Dolphins,2,1,0,1,0,0,0,1,3.0,3.0,77.9%,MIA,4,2020
22,Carolina Panthers,1,0,1,1,0,0,0,1,3.0,3.0,1.0%,CAR,4,2020
23,Jacksonville Jaguars,1,1,0,0,0,0,0,1,2.0,2.0,19.9%,JAC,4,2020
24,Houston Texans,3,0,0,0,0,0,0,1,2.0,2.0,36.0%,HOU,4,2020
25,Chicago Bears,1,0,0,0,0,0,0,1,2.0,2.0,46.1%,CHI,4,2020
26,Arizona Cardinals,0,1,0,0,0,0,0,1,1.0,1.0,0.4%,ARI,4,2020
27,Atlanta Falcons,1,0,0,0,0,0,0,1,0.0,0.0,11.4%,ATL,4,2020
28,Las Vegas Raiders,1,0,0,0,0,0,0,1,0.0,0.0,6.5%,LV,4,2020
29,Pittsburgh Steelers,0,0,0,0,0,0,0,1,0.0,0.0,91.3%,PIT,4,2020
30,Detroit Lions,2,1,0,1,0,0,0,1,0.0,0.0,40.6%,DET,4,2020
31,Tennessee Titans,0,0,0,0,0,0,0,1,0.0,0.0,1.1%,TEN,4,2020
32,Dallas Cowboys,2,0,0,0,0,0,0,1,-2.0,-2.0,98.7%,DAL,4,2020
