Rank,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Washington Commanders,6,3,1,2,0,0,1,1,21.0,21.0,1.0%,WAS,12,2019
2,New York Jets,1,1,1,0,1,0,0,1,18.0,18.0,94.9%,NYJ,12,2019
3,Seattle Seahawks,3,2,3,3,0,0,0,1,17.0,17.0,32.1%,SEA,12,2019
4,Tampa Bay Buccaneers,6,1,1,2,1,0,0,1,16.0,16.0,6.5%,TB,12,2019
5,Baltimore Ravens,2,2,0,1,0,0,0,1,13.0,13.0,97.7%,BAL,12,2019
6,Buffalo Bills,4,1,0,0,0,0,0,1,13.0,13.0,51.7%,BUF,12,2019
7,Pittsburgh Steelers,4,0,2,3,0,0,0,1,12.0,12.0,91.3%,PIT,12,2019
8,San Francisco 49ers,5,0,1,1,0,0,0,1,11.0,11.0,99.0%,SF,12,2019
9,Philadelphia Eagles,6,1,1,1,0,0,0,1,11.0,11.0,43.3%,PHI,12,2019
10,Cleveland Browns,4,2,0,1,0,0,0,1,8.0,8.0,97.8%,CLE,12,2019
11,Detroit Lions,3,1,1,1,0,0,0,1,8.0,8.0,40.6%,DET,12,2019
12,New England Patriots,0,1,0,2,0,0,0,1,8.0,8.0,2.9%,NE,12,2019
13,New York Giants,2,2,0,0,0,0,0,1,7.0,7.0,3.3%,NYG,12,2019
14,Tennessee Titans,3,0,1,0,0,0,0,1,6.0,6.0,1.1%,TEN,12,2019
15,Cincinnati Bengals,3,1,0,0,0,0,0,1,6.0,6.0,58.3%,CIN,12,2019
16,Dallas Cowboys,2,0,0,1,0,0,0,1,6.0,6.0,98.7%,DAL,12,2019
17,New Orleans Saints,4,0,1,1,0,0,0,1,5.0,5.0,64.3%,NO,12,2019
18,Atlanta Falcons,0,2,0,0,0,0,0,1,5.0,5.0,11.4%,ATL,12,2019
19,Chicago Bears,1,0,1,1,0,0,0,1,4.0,4.0,46.1%,CHI,12,2019
20,Indianapolis Colts,1,1,0,1,0,0,0,1,4.0,4.0,6.9%,IND,12,2019
21,Denver Broncos,1,1,0,0,0,0,0,1,4.0,4.0,7.8%,DEN,12,2019
22,Carolina Panthers,2,1,0,0,0,0,0,1,3.0,3.0,1.0%,CAR,12,2019
23,Las Vegas Raiders,1,0,1,0,0,0,0,1,2.0,2.0,6.5%,LV,12,2019
24,Houston Texans,1,0,0,0,0,0,0,1,2.0,2.0,36.0%,HOU,12,2019
25,Jacksonville Jaguars,1,0,2,2,0,0,0,1,1.0,1.0,19.9%,JAC,12,2019
26,Los Angeles Rams,3,0,0,0,0,0,0,1,-1.0,-1.0,1.4%,LAR,12,2019
27,Green Bay Packers,3,0,0,0,0,0,0,1,-1.0,-1.0,10.2%,GB,12,2019
28,Miami Dolphins,1,1,0,0,0,0,0,1,-1.0,-1.0,77.9%,MIA,12,2019
