Rank,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,New England Patriots,1,4,2,1,0,1,0,1,25.0,25.0,2.9%,NE,7,2019
2,Kansas City Chiefs,9,0,1,3,1,0,0,1,24.0,24.0,79.3%,KC,7,2019
3,Los Angeles Rams,5,1,2,3,1,0,0,1,21.0,21.0,1.4%,LAR,7,2019
4,Baltimore Ravens,1,1,1,0,2,0,0,1,18.0,18.0,97.7%,BAL,7,2019
5,Jacksonville Jaguars,2,3,1,1,1,0,0,1,17.0,17.0,19.9%,JAC,7,2019
6,Arizona Cardinals,8,1,2,3,0,0,0,1,15.0,15.0,0.4%,ARI,7,2019
7,San Francisco 49ers,3,0,1,1,0,0,0,1,15.0,15.0,99.0%,SF,7,2019
8,Dallas Cowboys,3,1,3,3,0,0,0,1,15.0,15.0,98.7%,DAL,7,2019
9,Buffalo Bills,1,1,1,2,0,0,1,1,11.0,11.0,51.7%,BUF,7,2019
10,New York Giants,2,0,0,0,0,0,0,1,10.0,10.0,3.3%,NYG,7,2019
11,New Orleans Saints,2,0,2,2,0,1,0,1,10.0,10.0,64.3%,NO,7,2019
12,Indianapolis Colts,3,2,0,0,0,1,0,1,9.0,9.0,6.9%,IND,7,2019
13,Washington Commanders,2,1,0,0,0,0,0,1,8.0,8.0,1.0%,WAS,7,2019
14,Los Angeles Chargers,2,1,0,1,0,0,0,1,4.0,4.0,9.6%,LAC,7,2019
15,Tennessee Titans,1,0,1,2,0,0,0,1,4.0,4.0,1.1%,TEN,7,2019
16,Chicago Bears,1,0,0,0,0,0,1,1,3.0,3.0,46.1%,CHI,7,2019
17,Minnesota Vikings,2,1,0,0,0,0,0,1,3.0,3.0,33.7%,MIN,7,2019
18,Houston Texans,1,0,1,0,0,0,0,1,2.0,2.0,36.0%,HOU,7,2019
19,Green Bay Packers,0,1,0,1,0,0,0,1,2.0,2.0,10.2%,GB,7,2019
20,Seattle Seahawks,1,0,0,1,0,0,0,1,2.0,2.0,32.1%,SEA,7,2019
21,Cincinnati Bengals,2,0,0,0,0,0,0,1,2.0,2.0,58.3%,CIN,7,2019
22,Philadelphia Eagles,3,1,0,1,0,0,0,1,1.0,1.0,43.3%,PHI,7,2019
23,Miami Dolphins,2,0,0,0,0,0,0,1,1.0,1.0,77.9%,MIA,7,2019
24,New York Jets,0,1,0,0,0,0,0,1,1.0,1.0,94.9%,NYJ,7,2019
25,Denver Broncos,1,0,0,0,0,0,0,1,1.0,1.0,7.8%,DEN,7,2019
26,Atlanta Falcons,0,0,0,0,0,0,0,1,-1.0,-1.0,11.4%,ATL,7,2019
27,Las Vegas Raiders,1,0,0,0,0,0,0,1,-3.0,-3.0,6.5%,LV,7,2019
28,Detroit Lions,0,0,0,2,0,0,0,1,-4.0,-4.0,40.6%,DET,7,2019
