Rank,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Indianapolis Colts,5,3,0,0,0,0,2,1,30.0,30.0,6.9%,IND,16,2019
2,Houston Texans,3,4,1,1,1,0,0,1,22.0,22.0,36.0%,HOU,16,2019
3,New York Jets,4,2,0,0,0,0,0,1,12.0,12.0,94.9%,NYJ,16,2019
4,Arizona Cardinals,5,0,1,2,0,0,0,1,11.0,11.0,0.4%,ARI,16,2019
5,Green Bay Packers,5,1,0,0,0,0,0,1,11.0,11.0,10.2%,GB,16,2019
6,Tampa Bay Buccaneers,5,1,1,2,0,0,0,1,10.0,10.0,6.5%,TB,16,2019
7,Kansas City Chiefs,3,0,0,0,0,0,0,1,10.0,10.0,79.3%,KC,16,2019
8,Minnesota Vikings,3,1,2,3,0,0,0,1,9.0,9.0,33.7%,MIN,16,2019
9,Los Angeles Rams,6,2,0,1,0,0,0,1,9.0,9.0,1.4%,LAR,16,2019
10,Atlanta Falcons,3,0,1,0,0,0,0,1,9.0,9.0,11.4%,ATL,16,2019
11,Philadelphia Eagles,2,0,1,1,0,0,0,1,8.0,8.0,43.3%,PHI,16,2019
12,San Francisco 49ers,0,1,0,1,1,0,0,1,7.0,7.0,99.0%,SF,16,2019
13,New Orleans Saints,5,0,1,0,0,0,0,1,6.0,6.0,64.3%,NO,16,2019
14,Detroit Lions,0,0,0,0,0,0,1,1,6.0,6.0,40.6%,DET,16,2019
15,Denver Broncos,4,0,0,0,0,0,0,1,5.0,5.0,7.8%,DEN,16,2019
16,Pittsburgh Steelers,2,0,1,1,0,0,0,1,5.0,5.0,91.3%,PIT,16,2019
17,Jacksonville Jaguars,1,2,0,0,0,0,0,1,5.0,5.0,19.9%,JAC,16,2019
18,New England Patriots,4,0,0,0,0,0,0,1,5.0,5.0,2.9%,NE,16,2019
19,Seattle Seahawks,2,0,0,0,0,0,0,1,4.0,4.0,32.1%,SEA,16,2019
20,Baltimore Ravens,1,1,0,0,0,0,0,1,4.0,4.0,97.7%,BAL,16,2019
21,Los Angeles Chargers,3,0,0,0,0,0,0,1,3.0,3.0,9.6%,LAC,16,2019
22,Miami Dolphins,4,0,1,1,0,0,0,1,2.0,2.0,77.9%,MIA,16,2019
23,Las Vegas Raiders,1,0,0,0,0,0,0,1,2.0,2.0,6.5%,LV,16,2019
24,Dallas Cowboys,1,0,0,1,0,0,0,1,2.0,2.0,98.7%,DAL,16,2019
25,Buffalo Bills,0,0,1,1,0,0,0,1,2.0,2.0,51.7%,BUF,16,2019
26,Cleveland Browns,0,0,1,1,0,0,0,1,1.0,1.0,97.8%,CLE,16,2019
27,Chicago Bears,1,0,0,0,0,0,0,1,1.0,1.0,46.1%,CHI,16,2019
28,Cincinnati Bengals,2,1,0,1,0,0,0,1,0.0,0.0,58.3%,CIN,16,2019
29,New York Giants,3,0,0,0,0,0,0,1,-1.0,-1.0,3.3%,NYG,16,2019
30,Carolina Panthers,3,0,0,0,0,0,0,1,-1.0,-1.0,1.0%,CAR,16,2019
31,Tennessee Titans,3,0,0,0,0,0,0,1,-1.0,-1.0,1.1%,TEN,16,2019
32,Washington Commanders,1,0,0,1,0,0,0,1,-1.0,-1.0,1.0%,WAS,16,2019
