Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS.1,Y/R,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Austin Ekeler,16,173,10.8,71,2,1,4,4,26,6.5,1,0,1,35.9,35.9,87.4%,WAS,5,2022
2,Leonard Fournette,14,56,4.0,14,0,1,10,11,83,8.3,1,0,1,35.9,35.9,2.1%,FA,5,2022
3,Josh Jacobs,21,154,7.3,37,2,1,5,5,39,7.8,0,0,1,30.3,30.3,99.4%,GB,5,2022
4,Breece Hall,18,97,5.4,17,0,1,2,2,100,50.0,0,0,1,27.7,27.7,100.0%,NYJ,5,2022
5,Derrick Henry,28,102,3.6,15,0,2,2,2,30,15.0,0,0,1,27.2,27.2,99.9%,BAL,5,2022
6,Dalvin Cook,18,94,5.2,15,0,2,2,2,27,13.5,0,0,1,26.1,26.1,12.7%,DAL,5,2022
7,Nick Chubb,17,134,7.9,41,2,2,0,1,0,0.0,0,0,1,25.4,25.4,83.5%,CLE,5,2022
8,Alvin Kamara,23,103,4.5,13,0,0,6,6,91,15.2,0,1,1,23.4,23.4,98.5%,NO,5,2022
9,Christian McCaffrey,14,54,3.9,19,0,1,7,12,50,7.1,0,0,1,23.4,23.4,100.0%,SF,5,2022
10,Tevin Coleman,8,23,2.9,14,0,1,3,3,44,14.7,1,0,1,21.7,21.7,0.0%,FA,5,2022
11,Dameon Pierce,26,99,3.8,20,1,1,3,5,14,4.7,0,0,1,20.3,20.3,6.1%,HOU,5,2022
12,Jeff Wilson Jr.,17,120,7.1,41,2,1,1,2,12,12.0,0,0,1,20.2,20.2,0.1%,MIA,5,2022
13,Saquon Barkley,13,70,5.4,40,1,1,3,6,36,12.0,0,0,1,19.6,19.6,100.0%,PHI,5,2022
14,Rhamondre Stevenson,25,161,6.4,49,2,0,2,2,14,7.0,0,0,1,19.5,19.5,95.2%,NE,5,2022
15,Raheem Mostert,18,113,6.3,24,2,1,1,3,9,9.0,0,0,1,19.2,19.2,92.7%,MIA,5,2022
16,David Montgomery,12,20,1.7,9,0,1,4,4,62,15.5,0,0,1,18.2,18.2,95.7%,DET,5,2022
17,Michael Carter,10,21,2.1,8,0,2,2,2,12,6.0,0,0,1,17.3,17.3,0.3%,ARI,5,2022
18,Joshua Kelley,10,49,4.9,16,0,1,2,2,33,16.5,0,0,1,16.2,16.2,0.0%,FA,5,2022
19,Kenneth Walker III,8,88,11.0,69,1,1,0,0,0,0.0,0,0,1,14.8,14.8,98.0%,SEA,5,2022
20,Kareem Hunt,11,47,4.3,17,0,1,3,3,10,3.3,0,0,1,14.7,14.7,0.2%,FA,5,2022
21,Tony Pollard,8,86,10.8,57,1,1,0,0,0,0.0,0,0,1,14.6,14.6,90.8%,TEN,5,2022
22,Travis Etienne Jr.,10,71,7.1,30,1,0,3,5,43,14.3,0,0,1,14.4,14.4,99.9%,JAC,5,2022
23,Eno Benjamin,8,25,3.1,11,0,1,3,4,28,9.3,0,0,1,14.3,14.3,0.0%,FA,5,2022
24,Melvin Gordon III,15,54,3.6,17,0,0,3,3,49,16.3,0,0,1,13.3,13.3,0.0%,FA,5,2022
