Rank,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT.1,YDS.1,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Derek Carr,22,28,78.6,264,9.4,4,0,2,1,6,0,0,1,27.2,27.2,7.1%,NO,18,2023
2,Carson Wentz,17,24,70.8,163,6.8,2,1,2,17,56,1,0,1,27.1,27.1,0.2%,KC,18,2023
3,Dak Prescott,31,36,86.1,279,7.8,4,1,0,0,0,0,0,1,26.2,26.2,96.3%,DAL,18,2023
4,Josh Allen,30,38,78.9,359,9.4,2,2,3,15,67,0,1,1,25.1,25.1,100.0%,BUF,18,2023
5,Nick Mullens,30,44,68.2,396,9.0,2,2,4,2,8,0,0,1,22.6,22.6,0.1%,MIN,18,2023
6,Jared Goff,23,32,71.9,320,10.0,2,0,1,0,0,0,0,1,20.8,20.8,73.4%,DET,18,2023
7,C.J. Stroud,20,26,76.9,264,10.2,2,0,2,3,20,0,0,1,20.6,20.6,99.3%,HOU,18,2023
8,Geno Smith,16,28,57.1,189,6.8,2,0,0,3,28,0,0,1,20.4,20.4,21.9%,SEA,18,2023
9,Jake Browning,18,24,75.0,156,6.5,3,1,2,2,18,0,0,1,19.0,19.0,0.2%,CIN,18,2023
10,Tyrod Taylor,23,32,71.9,297,9.3,1,1,1,8,38,0,0,1,18.7,18.7,0.2%,NYJ,18,2023
11,Jordan Love,27,32,84.4,316,9.9,2,0,1,3,-1,0,1,1,18.5,18.5,95.3%,GB,18,2023
12,Trevor Lawrence,29,43,67.4,280,6.5,2,2,0,3,10,0,0,1,18.2,18.2,66.9%,JAC,18,2023
13,Aidan O'Connell,20,31,64.5,244,7.9,2,0,2,4,1,0,0,1,17.9,17.9,0.8%,LV,18,2023
14,Kyler Murray,22,30,73.3,262,8.7,1,0,1,5,33,0,0,1,17.8,17.8,94.7%,ARI,18,2023
15,Sam Darnold,16,26,61.5,189,7.3,1,0,3,7,19,1,1,1,17.5,17.5,6.3%,MIN,18,2023
16,Desmond Ridder,22,30,73.3,291,9.7,2,1,0,2,0,0,1,1,16.6,16.6,0.1%,ARI,18,2023
17,Easton Stick,28,47,59.6,258,5.5,0,0,3,13,77,0,1,1,16.0,16.0,0.0%,LAC,18,2023
18,Jeff Driskel,13,26,50.0,166,6.4,2,2,3,7,33,0,0,1,15.9,15.9,0.0%,WAS,18,2023
19,Jarrett Stidham,20,34,58.8,272,8.0,1,1,5,3,2,0,0,1,14.1,14.1,0.1%,DEN,18,2023
20,Tyler Huntley,15,28,53.6,146,5.2,1,0,4,8,40,0,0,1,13.8,13.8,0.0%,BAL,18,2023
21,Ryan Tannehill,17,26,65.4,168,6.5,2,1,2,3,-3,0,0,1,13.4,13.4,0.1%,FA,18,2023
22,Marcus Mariota,13,20,65.0,148,7.4,1,1,3,6,46,0,1,1,11.5,11.5,0.1%,WAS,18,2023
23,Blaine Gabbert,15,30,50.0,154,5.1,0,1,1,5,46,0,0,1,9.8,9.8,0.0%,FA,18,2023
24,Tua Tagovailoa,17,27,63.0,173,6.4,1,2,0,1,7,0,0,1,9.6,9.6,80.1%,MIA,18,2023
25,Sam Howell,19,27,70.4,153,5.7,1,2,4,4,-1,0,0,1,9.4,9.4,0.7%,SEA,18,2023
