Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Kai Forbath,4,4,100.0,48,0,1,0,3,0,5,5,1,20.0,20.0,3.0%,LAR,17,2019
2,Younghoe Koo,5,5,100.0,45,0,1,2,2,0,1,1,1,18.0,18.0,79.8%,ATL,17,2019
3,Justin Tucker,4,4,100.0,47,0,1,0,3,0,2,2,1,17.0,17.0,99.8%,BAL,17,2019
4,Josh Lambo,3,3,100.0,56,0,1,0,0,2,3,3,1,16.0,16.0,0.1%,FA,17,2019
5,Brandon McManus,3,4,75.0,51,0,0,0,2,1,1,1,1,14.0,14.0,0.1%,FA,17,2019
6,Dan Bailey,4,4,100.0,39,0,0,4,0,0,1,1,1,13.0,13.0,0.0%,FA,17,2019
7,Eddy Pineiro,4,4,100.0,34,0,2,2,0,0,1,1,1,13.0,13.0,2.8%,CAR,17,2019
8,Jake Elliott,2,2,100.0,50,0,0,1,0,1,4,4,1,12.0,12.0,95.3%,PHI,17,2019
9,Mason Crosby,3,4,75.0,40,0,0,2,1,0,2,2,1,12.0,12.0,0.1%,FA,17,2019
10,Matt Prater,2,2,100.0,56,0,0,0,1,1,2,2,1,11.0,11.0,3.7%,ARI,17,2019
11,Dustin Hopkins,3,3,100.0,42,0,1,1,1,0,1,1,1,11.0,11.0,20.7%,CLE,17,2019
12,Randy Bullock,2,2,100.0,47,0,0,0,2,0,3,4,1,11.0,11.0,0.0%,FA,17,2019
13,Chase McLaughlin,2,2,100.0,50,0,1,0,0,1,2,2,1,10.0,10.0,3.7%,TB,17,2019
14,Robbie Gould,2,2,100.0,47,0,0,1,1,0,2,2,1,9.0,9.0,0.1%,FA,17,2019
15,Jason Sanders,2,2,100.0,32,0,1,1,0,0,3,3,1,9.0,9.0,49.7%,MIA,17,2019
16,Daniel Carlson,3,4,75.0,33,0,2,1,0,0,0,0,1,9.0,9.0,9.8%,LV,17,2019
17,Harrison Butker,1,1,100.0,40,0,0,0,1,0,4,4,1,8.0,8.0,98.8%,KC,17,2019
18,Sam Ficken,2,4,50.0,47,0,0,1,1,0,1,1,1,8.0,8.0,0.0%,FA,17,2019
19,Greg Zuerlein,1,2,50.0,47,0,0,0,1,0,4,4,1,8.0,8.0,52.1%,NYJ,17,2019
20,Stephen Hauschka,2,2,100.0,29,0,2,0,0,0,0,0,1,6.0,6.0,0.0%,FA,17,2019
21,Nick Folk,1,1,100.0,25,0,1,0,0,0,3,3,1,6.0,6.0,2.5%,TEN,17,2019
22,Austin Seibert,1,1,100.0,42,0,0,0,1,0,2,3,1,6.0,6.0,0.1%,FA,17,2019
23,Zane Gonzalez,1,1,100.0,31,0,0,1,0,0,3,3,1,6.0,6.0,0.1%,FA,17,2019
24,Wil Lutz,0,0,0.0,0,0,0,0,0,0,6,6,1,6.0,6.0,1.5%,DEN,17,2019
25,Aldrick Rosas,1,1,100.0,37,0,0,1,0,0,2,2,1,5.0,5.0,0.0%,FA,17,2019
26,Greg Joseph,0,0,0.0,0,0,0,0,0,0,5,5,1,5.0,5.0,0.1%,FA,17,2019
27,Joey Slye,1,1,100.0,23,0,1,0,0,0,1,1,1,4.0,4.0,0.2%,NE,17,2019
28,Chris Boswell,1,1,100.0,26,0,1,0,0,0,1,1,1,4.0,4.0,4.4%,PIT,17,2019
29,Jason Myers,0,0,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,8.8%,SEA,17,2019
30,Michael Badgley,0,0,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,1.1%,DET,17,2019
31,Matt Gay,0,3,0.0,0,0,0,0,0,0,2,2,1,2.0,2.0,30.7%,IND,17,2019
32,Ka'imi Fairbairn,0,0,0.0,0,0,0,0,0,0,2,2,1,2.0,2.0,89.8%,HOU,17,2019
33,Michael Palardy,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,33.3%,FA,17,2019
34,Ty Long,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.7%,FA,17,2019
