Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Brandon McManus,6,6,100.0,54,0,2,0,2,2,0,0,1,24.0,24.0,0.1%,FA,6,2020
2,Younghoe Koo,4,4,100.0,50,0,1,0,2,1,4,4,1,20.0,20.0,79.8%,ATL,6,2020
3,Justin Tucker,3,3,100.0,55,0,0,0,2,1,3,3,1,16.0,16.0,99.8%,BAL,6,2020
4,Cairo Santos,3,3,100.0,55,0,0,2,0,1,2,2,1,13.0,13.0,28.4%,CHI,6,2020
5,Randy Bullock,2,3,66.7,55,0,0,0,1,1,3,3,1,12.0,12.0,0.0%,FA,6,2020
6,Matt Prater,2,3,66.7,41,0,0,1,1,0,4,4,1,11.0,11.0,3.7%,ARI,6,2020
7,Joey Slye,3,4,75.0,48,0,2,0,1,0,1,1,1,11.0,11.0,0.2%,NE,6,2020
8,Ryan Succop,1,1,100.0,50,0,0,0,0,1,5,5,1,10.0,10.0,0.0%,FA,6,2020
9,Graham Gano,2,2,100.0,33,0,1,1,0,0,2,2,1,8.0,8.0,1.0%,NYG,6,2020
10,Chris Boswell,1,1,100.0,35,0,0,1,0,0,5,5,1,8.0,8.0,4.4%,PIT,6,2020
11,Harrison Butker,2,2,100.0,37,0,0,2,0,0,2,3,1,8.0,8.0,98.8%,KC,6,2020
12,Zane Gonzalez,1,1,100.0,26,0,1,0,0,0,5,5,1,8.0,8.0,0.1%,FA,6,2020
13,Rodrigo Blankenship,1,1,100.0,40,0,0,0,1,0,4,4,1,8.0,8.0,0.1%,FA,6,2020
14,Nick Folk,2,2,100.0,41,0,0,1,1,0,0,0,1,7.0,7.0,2.5%,TEN,6,2020
15,Dustin Hopkins,2,3,66.7,35,0,1,1,0,0,1,1,1,7.0,7.0,20.7%,CLE,6,2020
16,Robbie Gould,1,1,100.0,49,0,0,0,1,0,3,3,1,7.0,7.0,0.1%,FA,6,2020
17,Tyler Bass,1,2,50.0,48,0,0,0,1,0,2,2,1,6.0,6.0,40.1%,BUF,6,2020
18,Ka'imi Fairbairn,1,1,100.0,38,0,0,1,0,0,3,4,1,6.0,6.0,89.8%,HOU,6,2020
19,Jason Sanders,1,1,100.0,24,0,1,0,0,0,3,3,1,6.0,6.0,49.7%,MIA,6,2020
20,Sam Sloman,1,1,100.0,42,0,0,0,1,0,1,2,1,5.0,5.0,0.0%,FA,6,2020
21,Mason Crosby,1,1,100.0,39,0,0,1,0,0,1,1,1,4.0,4.0,0.1%,FA,6,2020
22,Jonathan Brown,1,2,50.0,31,0,0,1,0,0,1,1,1,4.0,4.0,0.0%,FA,6,2020
23,Stephen Gostkowski,0,2,0.0,0,0,0,0,0,0,4,4,1,4.0,4.0,0.1%,FA,6,2020
24,Greg Zuerlein,1,2,50.0,34,0,0,1,0,0,1,1,1,4.0,4.0,52.1%,NYJ,6,2020
25,Cody Parkey,0,0,0.0,0,0,0,0,0,0,1,1,1,1.0,1.0,0.1%,FA,6,2020
26,Dan Bailey,0,0,0.0,0,0,0,0,0,0,1,1,1,1.0,1.0,0.0%,FA,6,2020
27,Jake Elliott,0,1,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,95.3%,PHI,6,2020
28,Sam Ficken,0,1,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,6,2020
