Rank,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Los Angeles Rams,4,3,1,2,0,0,0,1,16.0,16.0,1.4%,LAR,6,2021
2,Indianapolis Colts,2,2,1,1,0,0,0,1,15.0,15.0,6.9%,IND,6,2021
3,Las Vegas Raiders,5,3,1,1,0,0,0,1,13.0,13.0,6.5%,LV,6,2021
4,Dallas Cowboys,2,1,1,1,1,0,0,1,13.0,13.0,98.7%,DAL,6,2021
5,Arizona Cardinals,5,1,2,2,0,0,0,1,12.0,12.0,0.4%,ARI,6,2021
6,Baltimore Ravens,2,1,0,0,0,0,0,1,11.0,11.0,97.7%,BAL,6,2021
7,Minnesota Vikings,4,1,2,2,0,0,0,1,10.0,10.0,33.7%,MIN,6,2021
8,Carolina Panthers,0,0,1,2,0,0,1,1,9.0,9.0,1.0%,CAR,6,2021
9,Pittsburgh Steelers,5,0,1,3,0,0,0,1,8.0,8.0,91.3%,PIT,6,2021
10,Kansas City Chiefs,0,1,1,1,0,0,0,1,8.0,8.0,79.3%,KC,6,2021
11,Washington Commanders,3,2,1,1,0,0,0,1,8.0,8.0,1.0%,WAS,6,2021
12,Green Bay Packers,4,1,0,0,0,0,0,1,7.0,7.0,10.2%,GB,6,2021
13,Cincinnati Bengals,1,1,0,0,0,0,0,1,7.0,7.0,58.3%,CIN,6,2021
14,Los Angeles Chargers,3,2,0,1,0,0,0,1,6.0,6.0,9.6%,LAC,6,2021
15,Tennessee Titans,3,1,0,1,0,0,0,1,4.0,4.0,1.1%,TEN,6,2021
16,Tampa Bay Buccaneers,2,1,0,0,0,0,0,1,4.0,4.0,6.5%,TB,6,2021
17,Miami Dolphins,2,0,1,1,0,0,0,1,4.0,4.0,77.9%,MIA,6,2021
18,New England Patriots,0,1,1,1,0,0,0,1,3.0,3.0,2.9%,NE,6,2021
19,Chicago Bears,3,0,0,0,0,0,0,1,3.0,3.0,46.1%,CHI,6,2021
20,Seattle Seahawks,1,0,1,1,0,0,0,1,3.0,3.0,32.1%,SEA,6,2021
21,Jacksonville Jaguars,0,1,0,1,0,0,0,1,3.0,3.0,19.9%,JAC,6,2021
22,Detroit Lions,2,1,0,1,0,0,0,1,3.0,3.0,40.6%,DET,6,2021
23,New York Giants,2,2,0,0,0,0,0,1,2.0,2.0,3.3%,NYG,6,2021
24,Houston Texans,2,0,0,0,0,0,0,1,1.0,1.0,36.0%,HOU,6,2021
25,Philadelphia Eagles,0,1,0,0,0,0,0,1,1.0,1.0,43.3%,PHI,6,2021
26,Denver Broncos,2,0,0,0,0,0,0,1,1.0,1.0,7.8%,DEN,6,2021
27,Buffalo Bills,0,1,0,0,0,0,0,1,1.0,1.0,51.7%,BUF,6,2021
28,Cleveland Browns,2,0,0,2,0,0,0,1,-2.0,-2.0,97.8%,CLE,6,2021
