Rank,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Budda Baker,11,3,0.0,1,1,0,0,0,1,27.8,27.8,20.2%,ARI,7,2020
2,Keanu Neal,10,1,1.0,0,0,0,0,0,1,24.8,24.8,0.1%,FA,7,2020
3,Daniel Sorensen,7,2,0.0,1,1,0,0,1,1,24.5,24.5,0.0%,FA,7,2020
4,Eddie Jackson,8,1,0.0,0,0,0,1,1,1,22.8,22.8,0.4%,BAL,7,2020
5,Ronnie Harrison Jr.,6,3,1.0,1,0,0,1,0,1,20.8,20.8,3.1%,FA,7,2020
6,Adrian Amos,5,1,1.0,0,0,0,1,0,1,18.8,18.8,0.1%,FA,7,2020
7,Charvarius Ward,7,2,1.0,0,0,0,0,0,1,18.5,18.5,15.4%,SF,7,2020
8,Jamar Taylor,3,0,0.0,2,2,0,0,0,1,17.5,17.5,0.0%,FA,7,2020
9,Devin McCourty,6,2,0.0,1,1,0,0,0,1,17.0,17.0,4.4%,FA,7,2020
10,Dre Kirkpatrick,10,0,0.0,1,0,0,0,0,1,16.5,16.5,0.0%,FA,7,2020
11,Ryan Neal,8,1,0.0,0,0,0,0,0,1,15.3,15.3,0.1%,FA,7,2020
12,Denzel Ward,5,1,0.0,3,0,0,0,0,1,15.3,15.3,1.3%,CLE,7,2020
13,Trayvon Mullen Jr.,8,0,0.0,2,0,0,0,0,1,15.0,15.0,0.0%,BAL,7,2020
14,James Bradberry IV,5,0,0.0,1,1,0,0,0,1,14.0,14.0,0.2%,PHI,7,2020
15,Jordan Poyer,3,2,1.0,1,0,0,0,0,1,14.0,14.0,3.1%,MIA,7,2020
16,Jabrill Peppers,4,2,1.0,0,0,0,0,0,1,14.0,14.0,4.0%,NE,7,2020
17,Tyrann Mathieu,5,0,0.0,1,1,0,0,0,1,14.0,14.0,3.1%,NO,7,2020
18,Erik Harris,6,1,0.0,0,0,1,0,0,1,13.8,13.8,0.0%,FA,7,2020
19,Darius Phillips,3,0,0.0,1,1,0,0,0,1,13.5,13.5,0.0%,FA,7,2020
20,Patrick Peterson,3,1,0.0,2,1,0,0,0,1,13.3,13.3,0.6%,FA,7,2020
21,Taylor Rapp,2,5,0.0,1,1,0,0,0,1,13.3,13.3,5.6%,BUF,7,2020
22,Jalen Ramsey,4,0,0.0,1,1,0,0,0,1,12.5,12.5,4.2%,MIA,7,2020
23,Dane Jackson,3,0,0.0,2,1,0,0,0,1,12.5,12.5,0.3%,CAR,7,2020
24,Landon Collins,2,2,1.0,0,0,1,0,0,1,12.5,12.5,0.0%,FA,7,2020
