Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS.1,Y/R,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,D'Onta Foreman,16,89,5.6,14,0,2,3,5,31,10.3,1,0,1,33.0,33.0,2.4%,CLE,7,2023
2,Alvin Kamara,17,62,3.6,17,0,0,12,14,91,7.6,0,0,1,29.3,29.3,98.5%,NO,7,2023
3,Jahmyr Gibbs,11,68,6.2,21,1,1,9,10,58,6.4,0,0,1,27.6,27.6,99.9%,DET,7,2023
4,Travis Etienne Jr.,14,53,3.8,17,0,2,3,5,24,8.0,0,0,1,22.7,22.7,99.9%,JAC,7,2023
5,Christian McCaffrey,15,45,3.0,9,0,1,3,3,51,17.0,1,1,1,22.6,22.6,100.0%,SF,7,2023
6,Gus Edwards,14,64,4.6,20,1,1,1,1,80,80.0,0,0,1,21.4,21.4,78.0%,LAC,7,2023
7,Jonathan Taylor,18,75,4.2,24,1,1,3,4,45,15.0,0,0,1,21.0,21.0,99.9%,IND,7,2023
8,James Cook,13,56,4.3,20,1,0,3,3,46,15.3,1,0,1,19.2,19.2,99.1%,BUF,7,2023
9,Saquon Barkley,21,77,3.7,12,0,0,3,4,41,13.7,1,1,1,18.8,18.8,100.0%,PHI,7,2023
10,Jerome Ford,11,74,6.7,69,1,1,2,4,20,10.0,0,0,1,17.4,17.4,80.4%,CLE,7,2023
11,Isiah Pacheco,13,32,2.5,6,0,0,4,4,28,7.0,1,0,1,16.0,16.0,99.9%,KC,7,2023
12,Rachaad White,13,34,2.6,13,0,0,6,6,65,10.8,0,0,1,15.9,15.9,99.0%,TB,7,2023
13,Najee Harris,14,53,3.8,10,0,1,3,3,15,5.0,0,0,1,15.8,15.8,93.3%,PIT,7,2023
14,Kareem Hunt,10,31,3.1,11,0,2,0,1,0,0.0,0,0,1,15.1,15.1,0.2%,FA,7,2023
15,Rhamondre Stevenson,9,34,3.8,14,0,0,6,6,51,8.5,0,0,1,14.5,14.5,95.2%,NE,7,2023
16,Tyler Allgeier,21,59,2.8,12,0,0,3,3,53,17.7,0,0,1,14.2,14.2,48.2%,ATL,7,2023
17,Darrell Henderson Jr.,18,61,3.4,16,0,1,1,2,5,5.0,0,0,1,13.6,13.6,5.0%,FA,7,2023
18,Joshua Kelley,7,75,10.7,49,1,1,0,0,0,0.0,0,0,1,13.5,13.5,0.0%,FA,7,2023
19,Kenneth Walker III,26,105,4.0,25,1,0,2,3,6,3.0,0,0,1,13.1,13.1,98.0%,SEA,7,2023
20,Javonte Williams,15,82,5.5,21,1,0,3,4,14,4.7,0,0,1,12.6,12.6,90.5%,DEN,7,2023
21,AJ Dillon,15,61,4.1,15,0,0,2,2,34,17.0,0,0,1,11.5,11.5,1.9%,GB,7,2023
22,Emari Demercado,13,58,4.5,18,0,0,4,5,17,4.3,0,0,1,11.5,11.5,0.2%,ARI,7,2023
23,D'Andre Swift,15,62,4.1,22,1,0,3,3,13,4.3,0,0,1,10.5,10.5,94.7%,CHI,7,2023
24,Jaylen Warren,6,32,5.3,13,0,1,1,2,-1,-1.0,0,0,1,10.1,10.1,87.9%,PIT,7,2023
25,Ezekiel Elliott,11,31,2.8,10,0,1,0,1,0,0.0,0,0,1,9.1,9.1,81.8%,DAL,7,2023
26,Aaron Jones,8,35,4.4,11,0,0,3,5,22,7.3,0,0,1,8.7,8.7,96.1%,MIN,7,2023
27,Brian Robinson Jr.,8,23,2.9,6,0,1,0,1,0,0.0,0,0,1,8.3,8.3,90.8%,WAS,7,2023
28,Cam Akers,10,31,3.1,13,0,0,2,3,30,15.0,0,0,1,8.1,8.1,1.5%,HOU,7,2023
29,Kenneth Gainwell,8,16,2.0,5,0,1,0,0,0,0.0,0,0,1,7.6,7.6,3.0%,PHI,7,2023
30,Zack Moss,18,57,3.2,21,1,0,1,2,5,5.0,0,0,1,7.2,7.2,85.3%,CIN,7,2023
31,Samaje Perine,2,10,5.0,5,0,0,3,3,31,10.3,0,0,1,7.1,7.1,2.1%,KC,7,2023
32,Royce Freeman,12,66,5.5,15,0,0,0,0,0,0.0,0,0,1,6.6,6.6,0.2%,FA,7,2023
33,Darrynton Evans,14,48,3.4,11,0,0,1,3,6,6.0,0,0,1,6.4,6.4,0.0%,BUF,7,2023
34,Alexander Mattison,8,39,4.9,19,0,0,2,3,3,1.5,0,0,1,6.2,6.2,7.9%,LV,7,2023
35,Raheem Mostert,9,45,5.0,21,1,0,1,3,6,6.0,0,0,1,6.1,6.1,92.7%,MIA,7,2023
36,Zamir White,2,2,1.0,2,0,0,3,3,26,8.7,0,0,1,5.8,5.8,93.2%,LV,7,2023
37,Justice Hill,4,46,11.5,27,1,0,1,1,2,2.0,0,0,1,5.8,5.8,3.1%,BAL,7,2023
38,Jaleel McLaughlin,5,45,9.0,23,1,0,1,2,1,1.0,0,0,1,5.6,5.6,36.0%,DEN,7,2023
39,Austin Ekeler,14,45,3.2,6,0,0,1,2,1,1.0,0,0,1,5.6,5.6,87.4%,WAS,7,2023
40,Cordarrelle Patterson,10,56,5.6,18,0,0,0,0,0,0.0,0,0,1,5.6,5.6,1.7%,PIT,7,2023
41,Patrick Ricard,0,0,0.0,0,0,0,2,2,31,15.5,0,0,1,5.1,5.1,0.1%,BAL,7,2023
42,Josh Jacobs,11,35,3.2,11,0,0,1,4,6,6.0,0,0,1,5.1,5.1,99.4%,GB,7,2023
43,Antonio Gibson,2,7,3.5,6,0,0,2,2,24,12.0,0,0,1,5.1,5.1,34.1%,NE,7,2023
44,Latavius Murray,4,8,2.0,3,0,0,2,2,20,10.0,0,0,1,4.8,4.8,0.0%,FA,7,2023
45,Emanuel Wilson,2,19,9.5,14,0,0,2,2,8,4.0,0,0,1,4.7,4.7,2.1%,GB,7,2023
46,Jerick McKinnon,2,2,1.0,3,0,0,2,2,24,12.0,0,0,1,4.6,4.6,0.1%,FA,7,2023
47,Craig Reynolds,3,16,5.3,12,0,0,1,1,9,9.0,0,0,1,3.5,3.5,0.3%,DET,7,2023
48,Chris Rodriguez Jr.,7,31,4.4,9,0,0,0,0,0,0.0,0,0,1,3.1,3.1,0.1%,WAS,7,2023
49,Pierre Strong Jr.,8,25,3.1,13,0,0,0,0,0,0.0,0,0,1,2.5,2.5,0.8%,CLE,7,2023
50,Ty Chandler,0,0,0.0,0,0,0,1,1,12,12.0,0,0,1,2.2,2.2,43.5%,MIN,7,2023
51,Matt Breida,3,4,1.3,6,0,0,1,1,5,5.0,0,0,1,1.9,1.9,0.0%,FA,7,2023
52,Keaton Mitchell,0,0,0.0,0,0,0,1,1,9,9.0,0,0,1,1.9,1.9,8.5%,BAL,7,2023
53,Jamaal Williams,5,14,2.8,4,0,0,0,0,0,0.0,0,0,1,1.4,1.4,5.0%,NO,7,2023
54,Khari Blasingame,0,0,0.0,0,0,0,1,1,4,4.0,0,0,1,1.4,1.4,0.0%,CHI,7,2023
55,Jeff Wilson Jr.,0,0,0.0,0,0,0,1,1,4,4.0,0,0,1,1.4,1.4,0.1%,MIA,7,2023
56,Salvon Ahmed,2,3,1.5,2,0,0,1,2,0,0.0,0,0,1,1.3,1.3,0.0%,FA,7,2023
57,Keith Smith,0,0,0.0,0,0,0,1,1,-1,-1.0,0,0,1,0.9,0.9,0.0%,FA,7,2023
58,Ke'Shawn Vaughn,4,7,1.8,9,0,0,0,1,0,0.0,0,0,1,0.7,0.7,0.0%,SF,7,2023
59,Clyde Edwards-Helaire,2,5,2.5,7,0,0,0,1,0,0.0,0,0,1,0.5,0.5,7.3%,KC,7,2023
60,Bijan Robinson,1,3,3.0,3,0,0,0,0,0,0.0,0,0,1,0.3,0.3,100.0%,ATL,7,2023
61,Damien Williams,1,2,2.0,2,0,0,0,0,0,0.0,0,0,1,0.2,0.2,0.0%,FA,7,2023
62,Tank Bigsby,2,2,1.0,2,0,0,0,0,0,0.0,0,0,1,0.2,0.2,4.9%,JAC,7,2023
63,J.K. Dobbins,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,61.0%,LAC,7,2023
64,Trey Sermon,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,1.0%,IND,7,2023
65,La'Mical Perine,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%,GB,7,2023
66,D'Ernest Johnson,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.4%,JAC,7,2023
67,J.J. Taylor,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.1%,HOU,7,2023
68,Patrick Taylor Jr.,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%,SF,7,2023
69,Travis Homer,0,0,0.0,0,0,0,0,1,0,0.0,0,0,1,0.0,0.0,0.0%,CHI,7,2023
70,Trayveon Williams,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.3%,CIN,7,2023
71,Alec Ingold,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.1%,MIA,7,2023
72,Ty Johnson,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.9%,BUF,7,2023
73,Mike Weber,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%,NYG,7,2023
74,Andrew Beck,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%,GB,7,2023
75,Tony Pollard,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,90.8%,TEN,7,2023
