Rank,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,New Orleans Saints,4,1,0,0,0,0,0,1,16.0,16.0,64.3%,NO,8,2022
2,Philadelphia Eagles,6,1,1,2,0,0,0,1,14.0,14.0,43.3%,PHI,8,2022
3,Seattle Seahawks,5,0,2,1,0,0,0,1,13.0,13.0,32.1%,SEA,8,2022
4,Cleveland Browns,5,1,1,1,0,0,0,1,13.0,13.0,97.8%,CLE,8,2022
5,Dallas Cowboys,4,0,1,1,1,0,0,1,11.0,11.0,98.7%,DAL,8,2022
6,Minnesota Vikings,4,2,1,0,0,0,0,1,10.0,10.0,33.7%,MIN,8,2022
7,Tennessee Titans,3,1,0,0,0,0,0,1,9.0,9.0,1.1%,TEN,8,2022
8,New England Patriots,2,3,0,0,0,0,0,1,9.0,9.0,2.9%,NE,8,2022
9,Atlanta Falcons,1,1,0,0,1,0,0,1,8.0,8.0,11.4%,ATL,8,2022
10,New York Jets,6,1,0,1,0,0,0,1,8.0,8.0,94.9%,NYJ,8,2022
11,Houston Texans,3,1,1,0,0,0,0,1,8.0,8.0,36.0%,HOU,8,2022
12,Washington Commanders,2,0,2,1,0,0,0,1,7.0,7.0,1.0%,WAS,8,2022
13,Cincinnati Bengals,2,1,1,1,0,0,0,1,7.0,7.0,58.3%,CIN,8,2022
14,Denver Broncos,2,2,0,1,0,0,0,1,7.0,7.0,7.8%,DEN,8,2022
15,Arizona Cardinals,3,0,1,1,0,0,0,1,6.0,6.0,0.4%,ARI,8,2022
16,Green Bay Packers,2,2,0,1,0,0,0,1,6.0,6.0,10.2%,GB,8,2022
17,Carolina Panthers,2,2,0,1,0,0,0,1,5.0,5.0,1.0%,CAR,8,2022
18,Buffalo Bills,2,1,0,0,0,0,0,1,5.0,5.0,51.7%,BUF,8,2022
19,Indianapolis Colts,2,1,0,0,0,0,0,1,5.0,5.0,6.9%,IND,8,2022
20,New York Giants,3,0,1,1,0,0,0,1,5.0,5.0,3.3%,NYG,8,2022
21,Baltimore Ravens,3,0,1,0,0,0,0,1,5.0,5.0,97.7%,BAL,8,2022
22,Tampa Bay Buccaneers,3,0,0,0,0,0,0,1,5.0,5.0,6.5%,TB,8,2022
23,Jacksonville Jaguars,3,1,0,0,0,0,0,1,5.0,5.0,19.9%,JAC,8,2022
24,Detroit Lions,2,0,1,1,0,0,0,1,3.0,3.0,40.6%,DET,8,2022
25,San Francisco 49ers,2,0,0,0,0,0,0,1,3.0,3.0,99.0%,SF,8,2022
26,Los Angeles Rams,3,0,0,1,0,0,0,1,2.0,2.0,1.4%,LAR,8,2022
27,Miami Dolphins,1,0,0,0,0,0,0,1,1.0,1.0,77.9%,MIA,8,2022
28,Las Vegas Raiders,0,0,0,0,0,0,0,1,0.0,0.0,6.5%,LV,8,2022
29,Pittsburgh Steelers,3,0,0,0,0,0,0,1,-1.0,-1.0,91.3%,PIT,8,2022
30,Chicago Bears,1,1,0,0,0,0,0,1,-1.0,-1.0,46.1%,CHI,8,2022
