Rank,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,New England Patriots,6,1,1,1,1,0,0,1,20.0,20.0,2.9%,NE,14,2022
2,Kansas City Chiefs,6,2,0,0,1,0,0,1,15.0,15.0,79.3%,KC,14,2022
3,Buffalo Bills,4,0,2,3,0,0,0,1,12.0,12.0,51.7%,BUF,14,2022
4,Jacksonville Jaguars,4,1,3,2,0,0,0,1,12.0,12.0,19.9%,JAC,14,2022
5,Baltimore Ravens,2,3,0,0,0,0,0,1,11.0,11.0,97.7%,BAL,14,2022
6,Miami Dolphins,4,0,0,0,0,0,0,1,10.0,10.0,77.9%,MIA,14,2022
7,San Francisco 49ers,0,2,1,1,0,0,0,1,10.0,10.0,99.0%,SF,14,2022
8,Philadelphia Eagles,7,0,1,1,0,0,0,1,9.0,9.0,43.3%,PHI,14,2022
9,New York Jets,3,0,0,0,0,1,0,1,8.0,8.0,94.9%,NYJ,14,2022
10,Detroit Lions,4,0,2,2,0,0,0,1,8.0,8.0,40.6%,DET,14,2022
11,Cincinnati Bengals,2,1,0,0,0,0,0,1,8.0,8.0,58.3%,CIN,14,2022
12,Denver Broncos,2,3,0,0,0,0,0,1,7.0,7.0,7.8%,DEN,14,2022
13,Houston Texans,1,2,1,1,0,0,0,1,7.0,7.0,36.0%,HOU,14,2022
14,Carolina Panthers,3,2,0,0,0,0,0,1,7.0,7.0,1.0%,CAR,14,2022
15,Las Vegas Raiders,4,0,1,1,0,0,0,1,7.0,7.0,6.5%,LV,14,2022
16,Los Angeles Chargers,2,0,0,1,0,0,0,1,6.0,6.0,9.6%,LAC,14,2022
17,Los Angeles Rams,0,2,0,0,0,0,0,1,5.0,5.0,1.4%,LAR,14,2022
18,Dallas Cowboys,0,1,1,1,0,0,0,1,4.0,4.0,98.7%,DAL,14,2022
19,Cleveland Browns,2,1,0,0,0,0,0,1,4.0,4.0,97.8%,CLE,14,2022
20,Pittsburgh Steelers,2,0,0,1,0,0,0,1,3.0,3.0,91.3%,PIT,14,2022
21,Arizona Cardinals,1,1,0,0,0,0,0,1,3.0,3.0,0.4%,ARI,14,2022
22,New York Giants,4,0,0,0,0,0,0,1,2.0,2.0,3.3%,NYG,14,2022
23,Seattle Seahawks,2,0,0,0,0,0,0,1,1.0,1.0,32.1%,SEA,14,2022
24,Minnesota Vikings,0,0,0,0,0,0,0,1,-1.0,-1.0,33.7%,MIN,14,2022
25,Tampa Bay Buccaneers,0,0,1,1,0,0,0,1,-2.0,-2.0,6.5%,TB,14,2022
26,Tennessee Titans,0,0,0,0,0,0,0,1,-4.0,-4.0,1.1%,TEN,14,2022
