Rank,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Denver Broncos,4,1,2,1,0,1,0,1,16.0,16.0,7.8%,DEN,3,2022
2,Carolina Panthers,1,2,1,1,1,0,0,1,16.0,16.0,1.0%,CAR,3,2022
3,Cincinnati Bengals,4,2,2,3,0,0,0,1,16.0,16.0,58.3%,CIN,3,2022
4,Philadelphia Eagles,9,0,1,2,0,0,0,1,15.0,15.0,43.3%,PHI,3,2022
5,Green Bay Packers,3,0,2,2,0,0,0,1,11.0,11.0,10.2%,GB,3,2022
6,Baltimore Ravens,3,3,1,2,0,0,0,1,11.0,11.0,97.7%,BAL,3,2022
7,Cleveland Browns,1,0,1,1,1,0,0,1,10.0,10.0,97.8%,CLE,3,2022
8,Dallas Cowboys,5,1,0,0,0,0,0,1,10.0,10.0,98.7%,DAL,3,2022
9,Jacksonville Jaguars,1,1,1,1,0,0,0,1,9.0,9.0,19.9%,JAC,3,2022
10,Houston Texans,5,2,0,0,0,0,0,1,9.0,9.0,36.0%,HOU,3,2022
11,Miami Dolphins,4,0,1,2,0,0,0,1,9.0,9.0,77.9%,MIA,3,2022
12,Kansas City Chiefs,5,0,1,2,0,0,0,1,8.0,8.0,79.3%,KC,3,2022
13,San Francisco 49ers,4,0,0,2,0,0,0,1,8.0,8.0,99.0%,SF,3,2022
14,Seattle Seahawks,3,1,1,1,0,0,0,1,7.0,7.0,32.1%,SEA,3,2022
15,Los Angeles Rams,2,0,0,0,0,0,0,1,6.0,6.0,1.4%,LAR,3,2022
16,Chicago Bears,1,2,0,2,0,0,0,1,6.0,6.0,46.1%,CHI,3,2022
17,Indianapolis Colts,1,1,1,0,0,0,0,1,6.0,6.0,6.9%,IND,3,2022
18,Tampa Bay Buccaneers,1,1,1,2,0,0,0,1,6.0,6.0,6.5%,TB,3,2022
19,Washington Commanders,3,0,0,0,0,1,0,1,5.0,5.0,1.0%,WAS,3,2022
20,New Orleans Saints,3,0,0,0,0,0,0,1,4.0,4.0,64.3%,NO,3,2022
21,New York Jets,2,0,1,1,0,0,0,1,4.0,4.0,94.9%,NYJ,3,2022
22,New England Patriots,4,1,1,1,0,0,0,1,4.0,4.0,2.9%,NE,3,2022
23,Atlanta Falcons,2,1,0,0,0,0,0,1,4.0,4.0,11.4%,ATL,3,2022
24,Buffalo Bills,2,0,0,0,0,1,0,1,4.0,4.0,51.7%,BUF,3,2022
25,Arizona Cardinals,1,0,1,1,0,0,0,1,4.0,4.0,0.4%,ARI,3,2022
26,Las Vegas Raiders,1,1,0,1,0,0,0,1,3.0,3.0,6.5%,LV,3,2022
27,Tennessee Titans,1,1,0,1,0,0,0,1,3.0,3.0,1.1%,TEN,3,2022
28,Pittsburgh Steelers,2,0,0,0,0,0,0,1,2.0,2.0,91.3%,PIT,3,2022
29,Minnesota Vikings,0,1,0,0,0,0,0,1,2.0,2.0,33.7%,MIN,3,2022
30,Detroit Lions,1,0,1,0,0,0,0,1,2.0,2.0,40.6%,DET,3,2022
31,New York Giants,0,0,0,0,0,0,0,1,0.0,0.0,3.3%,NYG,3,2022
32,Los Angeles Chargers,0,0,0,0,0,0,0,1,-4.0,-4.0,9.6%,LAC,3,2022
