Rank,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Dallas Cowboys,5,2,3,4,0,0,0,1,22.0,22.0,98.7%,DAL,7,2022
2,Tennessee Titans,3,2,1,1,1,0,0,1,19.0,19.0,1.1%,TEN,7,2022
3,Arizona Cardinals,0,3,0,0,2,0,0,1,17.0,17.0,0.4%,ARI,7,2022
4,Kansas City Chiefs,5,2,1,1,0,1,0,1,13.0,13.0,79.3%,KC,7,2022
5,Miami Dolphins,2,3,0,0,0,0,0,1,12.0,12.0,77.9%,MIA,7,2022
6,Baltimore Ravens,5,0,2,3,0,0,0,1,12.0,12.0,97.7%,BAL,7,2022
7,Chicago Bears,1,3,1,0,0,0,0,1,10.0,10.0,46.1%,CHI,7,2022
8,Las Vegas Raiders,1,1,0,0,1,0,0,1,10.0,10.0,6.5%,LV,7,2022
9,Green Bay Packers,1,1,0,0,1,0,0,1,9.0,9.0,10.2%,GB,7,2022
10,Carolina Panthers,1,0,0,0,0,0,0,1,8.0,8.0,1.0%,CAR,7,2022
11,Indianapolis Colts,2,0,1,0,0,0,0,1,8.0,8.0,6.9%,IND,7,2022
12,Seattle Seahawks,3,1,1,2,0,0,0,1,7.0,7.0,32.1%,SEA,7,2022
13,New York Jets,1,1,0,0,0,0,0,1,7.0,7.0,94.9%,NYJ,7,2022
14,New York Giants,0,0,1,1,0,0,0,1,5.0,5.0,3.3%,NYG,7,2022
15,New England Patriots,4,1,0,2,0,0,0,1,5.0,5.0,2.9%,NE,7,2022
16,Cleveland Browns,3,0,1,1,0,0,0,1,5.0,5.0,97.8%,CLE,7,2022
17,Cincinnati Bengals,3,0,0,0,0,0,0,1,4.0,4.0,58.3%,CIN,7,2022
18,Detroit Lions,2,0,1,1,0,0,0,1,4.0,4.0,40.6%,DET,7,2022
19,Los Angeles Chargers,2,1,1,0,0,1,0,1,4.0,4.0,9.6%,LAC,7,2022
20,Denver Broncos,3,0,0,0,0,0,0,1,4.0,4.0,7.8%,DEN,7,2022
21,Washington Commanders,0,0,1,0,0,0,0,1,3.0,3.0,1.0%,WAS,7,2022
22,San Francisco 49ers,1,1,1,0,0,0,0,1,1.0,1.0,99.0%,SF,7,2022
23,New Orleans Saints,2,0,0,1,0,0,0,1,1.0,1.0,64.3%,NO,7,2022
24,Jacksonville Jaguars,1,0,0,0,0,0,0,1,1.0,1.0,19.9%,JAC,7,2022
25,Tampa Bay Buccaneers,1,0,0,0,0,0,0,1,1.0,1.0,6.5%,TB,7,2022
26,Pittsburgh Steelers,0,0,0,0,0,0,0,1,1.0,1.0,91.3%,PIT,7,2022
27,Houston Texans,1,0,0,0,0,0,0,1,0.0,0.0,36.0%,HOU,7,2022
28,Atlanta Falcons,3,0,0,0,0,0,0,1,-1.0,-1.0,11.4%,ATL,7,2022
