Rank,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,A.J. Epenesa,2,2,2.0,3,0,1,1,0,1,27.5,27.5,0.7%,BUF,5,2023
2,Ed Oliver,5,4,1.0,0,0,1,0,0,1,26.0,26.0,8.6%,BUF,5,2023
3,Zach Sieler,6,1,2.0,0,0,0,0,0,1,25.3,25.3,9.9%,MIA,5,2023
4,Trey Hendrickson,2,2,2.5,1,0,1,0,0,1,22.5,22.5,22.8%,CIN,5,2023
5,Maxx Crosby,4,1,1.0,0,0,0,0,0,1,20.8,20.8,73.0%,LV,5,2023
6,Aidan Hutchinson,3,0,1.0,1,1,0,0,0,1,20.0,20.0,46.8%,DET,5,2023
7,Jalen Carter,3,1,2.0,0,0,0,0,0,1,18.3,18.3,5.8%,PHI,5,2023
8,Montez Sweat,4,2,1.5,1,0,0,0,0,1,17.5,17.5,22.6%,CHI,5,2023
9,Zach Allen,4,1,1.0,0,0,1,0,0,1,17.3,17.3,4.5%,DEN,5,2023
10,Carl Granderson,3,1,1.0,0,0,0,0,0,1,16.8,16.8,8.4%,NO,5,2023
11,Dante Stills,4,2,1.0,0,0,0,0,0,1,16.5,16.5,0.1%,ARI,5,2023
12,Haason Reddick,2,0,2.0,0,0,0,0,0,1,16.0,16.0,4.7%,NYJ,5,2023
13,Nik Bonitto,2,0,2.0,0,0,0,0,0,1,16.0,16.0,0.5%,DEN,5,2023
14,Jermaine Johnson II,2,1,1.0,0,0,1,0,0,1,14.3,14.3,11.3%,NYJ,5,2023
15,DeMarcus Walker,2,2,1.0,0,0,0,0,0,1,13.5,13.5,0.4%,CHI,5,2023
16,Jonathan Allen,2,5,1.0,0,0,0,0,0,1,13.3,13.3,6.1%,WAS,5,2023
17,Kevin Strong,4,1,1.0,0,0,0,0,0,1,13.3,13.3,0.0%,FA,5,2023
18,Kevin Givens,1,1,1.0,0,0,0,1,0,1,12.8,12.8,0.1%,SF,5,2023
19,Kayvon Thibodeaux,1,1,1.0,0,0,0,1,0,1,12.8,12.8,11.4%,NYG,5,2023
20,Kingsley Enagbare,2,1,1.0,0,0,0,0,0,1,12.8,12.8,0.1%,GB,5,2023
21,Brent Urban,4,0,1.0,0,0,0,0,0,1,12.5,12.5,0.1%,BAL,5,2023
