Rank,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Eric Stokes,8,0,0.0,2,1,0,0,0,1,20.0,20.0,0.2%,GB,4,2021
2,Mike Hughes,9,1,0.0,1,0,1,0,0,1,19.8,19.8,0.1%,ATL,4,2021
3,Antoine Winfield Jr.,5,2,0.0,1,1,1,0,0,1,19.5,19.5,66.8%,TB,4,2021
4,Desmond King II,8,1,0.0,0,0,1,0,0,1,19.3,19.3,3.4%,FA,4,2021
5,Trevon Diggs,4,0,0.0,2,2,0,0,0,1,19.0,19.0,11.9%,DAL,4,2021
6,Marcus Williams,4,2,0.0,1,1,1,0,0,1,18.0,18.0,2.8%,BAL,4,2021
7,Caden Sterns,2,0,2.0,1,0,0,0,0,1,17.5,17.5,0.1%,PHI,4,2021
8,Malcolm Jenkins,8,4,0.0,0,0,0,0,0,1,17.5,17.5,15.0%,FA,4,2021
9,Quandre Diggs,5,2,0.0,2,1,0,0,0,1,17.0,17.0,0.7%,TEN,4,2021
10,Lonnie Johnson Jr.,5,3,0.0,1,1,0,0,0,1,16.3,16.3,0.1%,CAR,4,2021
11,Richard Sherman,7,0,0.0,0,0,0,1,0,1,14.5,14.5,0.1%,FA,4,2021
12,Javelin Guidry,9,1,0.0,0,0,0,0,0,1,14.3,14.3,0.0%,FA,4,2021
13,Kareem Jackson,8,3,0.0,0,0,0,0,0,1,14.3,14.3,0.1%,BUF,4,2021
14,Greedy Williams,4,2,0.0,1,1,0,0,0,1,14.0,14.0,0.0%,FA,4,2021
15,Budda Baker,5,3,0.0,0,0,0,1,0,1,13.8,13.8,20.2%,ARI,4,2021
16,Terrance Mitchell,3,3,0.0,2,0,1,0,0,1,13.8,13.8,0.0%,FA,4,2021
17,Anthony Brown,6,0,0.0,3,0,0,0,0,1,13.5,13.5,0.1%,CAR,4,2021
18,Justin Simmons,6,2,0.0,2,0,0,0,0,1,13.5,13.5,2.8%,ATL,4,2021
19,Daniel Sorensen,9,0,0.0,0,0,0,0,0,1,13.5,13.5,0.0%,FA,4,2021
20,Taylor Rapp,6,6,0.0,0,0,0,0,0,1,13.5,13.5,5.6%,BUF,4,2021
21,Jayron Kearse,5,1,0.0,0,0,0,0,0,1,13.3,13.3,0.1%,FA,4,2021
22,Derwin James Jr.,3,3,0.0,1,1,0,0,0,1,13.3,13.3,48.4%,LAC,4,2021
23,Amani Oruwariye,3,3,0.0,1,1,0,0,0,1,13.3,13.3,0.0%,DAL,4,2021
24,L'Jarius Sneed,3,1,1.0,0,0,1,0,0,1,13.3,13.3,14.1%,TEN,4,2021
25,Jalen Thompson,5,5,0.0,1,0,0,0,0,1,12.8,12.8,8.1%,ARI,4,2021
26,Bryce Hall,3,2,0.5,3,0,0,0,0,1,12.5,12.5,0.1%,TB,4,2021
27,Cam Lewis,2,2,0.0,1,0,1,0,0,1,12.5,12.5,0.1%,BUF,4,2021
28,Tyson Campbell,4,5,0.0,0,0,0,0,0,1,12.3,12.3,8.1%,JAC,4,2021
29,Jalen Ramsey,4,1,0.0,2,0,0,0,0,1,12.3,12.3,4.2%,MIA,4,2021
30,Kyle Dugger,6,1,0.0,0,0,0,0,0,1,12.3,12.3,17.4%,NE,4,2021
31,Jonathan Jones,7,2,0.0,0,0,0,0,0,1,12.0,12.0,0.2%,NE,4,2021
32,Bobby McCain,5,0,0.0,3,0,0,0,0,1,12.0,12.0,0.0%,MIN,4,2021
33,Erik Harris,4,2,0.0,3,0,0,0,0,1,12.0,12.0,0.0%,FA,4,2021
