Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Ka'imi Fairbairn,3,3,100.0,52,0,1,0,0,2,3,3,1,16.0,16.0,89.8%,HOU,15,2021
2,Chris Boswell,4,5,80.0,48,0,1,1,2,0,1,1,1,15.0,15.0,4.4%,PIT,15,2021
3,Riley Patterson,3,3,100.0,47,0,0,1,2,0,3,3,1,14.0,14.0,0.1%,FA,15,2021
4,Evan McPherson,3,3,100.0,58,0,1,0,0,2,0,0,1,13.0,13.0,88.7%,CIN,15,2021
5,Daniel Carlson,3,3,100.0,48,0,1,0,2,0,1,1,1,12.0,12.0,9.8%,LV,15,2021
6,Matt Gay,2,2,100.0,55,0,0,1,0,1,2,2,1,10.0,10.0,30.7%,IND,15,2021
7,Greg Zuerlein,3,3,100.0,42,0,2,0,1,0,0,2,1,10.0,10.0,52.1%,NYJ,15,2021
8,Brett Maher,3,3,100.0,42,0,0,2,1,0,0,0,1,10.0,10.0,0.0%,FA,15,2021
9,Michael Badgley,2,3,66.7,41,0,1,0,1,0,3,3,1,10.0,10.0,1.1%,DET,15,2021
10,Matthew Wright,3,3,100.0,38,0,1,2,0,0,1,1,1,10.0,10.0,0.0%,FA,15,2021
11,Jake Elliott,2,2,100.0,37,0,1,1,0,0,3,3,1,9.0,9.0,95.3%,PHI,15,2021
12,Harrison Butker,2,2,100.0,33,0,0,2,0,0,2,2,1,8.0,8.0,98.8%,KC,15,2021
13,Younghoe Koo,2,2,100.0,48,0,1,0,1,0,1,1,1,8.0,8.0,79.8%,ATL,15,2021
14,Randy Bullock,2,2,100.0,32,0,1,1,0,0,1,1,1,7.0,7.0,0.0%,FA,15,2021
15,Robbie Gould,1,1,100.0,30,0,0,1,0,0,4,4,1,7.0,7.0,0.1%,FA,15,2021
16,Jason Sanders,1,1,100.0,24,0,1,0,0,0,4,4,1,7.0,7.0,49.7%,MIA,15,2021
17,Graham Gano,2,2,100.0,42,0,0,1,1,0,0,0,1,7.0,7.0,1.0%,NYG,15,2021
18,Mason Crosby,1,1,100.0,29,0,1,0,0,0,4,4,1,7.0,7.0,0.1%,FA,15,2021
19,Tyler Bass,1,1,100.0,26,0,1,0,0,0,4,4,1,7.0,7.0,40.1%,BUF,15,2021
20,Eddy Pineiro,1,1,100.0,27,0,1,0,0,0,3,3,1,6.0,6.0,2.8%,CAR,15,2021
21,Justin Tucker,1,1,100.0,38,0,0,1,0,0,3,3,1,6.0,6.0,99.8%,BAL,15,2021
22,Matt Prater,2,2,100.0,29,0,2,0,0,0,0,0,1,6.0,6.0,3.7%,ARI,15,2021
23,Brandon McManus,1,2,50.0,54,0,0,0,0,1,1,1,1,6.0,6.0,0.1%,FA,15,2021
24,Greg Joseph,1,1,100.0,37,0,0,1,0,0,2,2,1,5.0,5.0,0.1%,FA,15,2021
25,Nick Folk,1,1,100.0,25,0,1,0,0,0,2,2,1,5.0,5.0,2.5%,TEN,15,2021
26,Brian Johnson,1,1,100.0,22,0,1,0,0,0,2,2,1,5.0,5.0,0.0%,FA,15,2021
27,Jason Myers,1,1,100.0,39,0,0,1,0,0,1,1,1,4.0,4.0,8.8%,SEA,15,2021
28,Dustin Hopkins,0,0,0.0,0,0,0,0,0,0,4,4,1,4.0,4.0,20.7%,CLE,15,2021
29,Cairo Santos,1,2,50.0,34,0,0,1,0,0,0,0,1,3.0,3.0,28.4%,CHI,15,2021
30,Chase McLaughlin,0,1,0.0,0,0,0,0,0,0,2,2,1,2.0,2.0,3.7%,TB,15,2021
31,Ryan Succop,0,1,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,15,2021
32,Michael Palardy,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,33.3%,FA,15,2021
33,Ty Long,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.7%,FA,15,2021
