Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Evan McPherson,4,4,100.0,54,0,0,0,1,3,2,3,1,21.0,21.0,88.7%,CIN,11,2021
2,Jake Elliott,4,4,100.0,50,0,0,2,1,1,4,4,1,19.0,19.0,95.3%,PHI,11,2021
3,Nick Folk,4,4,100.0,53,0,0,2,1,1,1,2,1,16.0,16.0,2.5%,TEN,11,2021
4,Chris Boswell,3,3,100.0,45,0,0,2,1,0,4,4,1,14.0,14.0,4.4%,PIT,11,2021
5,Robbie Gould,3,3,100.0,48,0,1,0,2,0,3,3,1,14.0,14.0,0.1%,FA,11,2021
6,Ryan Succop,3,3,100.0,40,0,1,1,1,0,3,3,1,13.0,13.0,0.0%,FA,11,2021
7,Dustin Hopkins,2,2,100.0,41,0,0,1,1,0,5,5,1,12.0,12.0,20.7%,CLE,11,2021
8,Michael Badgley,2,2,100.0,36,0,0,2,0,0,5,5,1,11.0,11.0,1.1%,DET,11,2021
9,Ka'imi Fairbairn,3,3,100.0,43,0,1,1,1,0,1,2,1,11.0,11.0,89.8%,HOU,11,2021
10,Justin Tucker,3,3,100.0,46,0,1,1,1,0,1,1,1,11.0,11.0,99.8%,BAL,11,2021
11,Greg Joseph,2,2,100.0,51,0,1,0,0,1,2,3,1,10.0,10.0,0.1%,FA,11,2021
12,Greg Zuerlein,3,3,100.0,48,0,0,2,1,0,0,0,1,10.0,10.0,52.1%,NYJ,11,2021
13,Joey Slye,2,2,100.0,36,0,1,1,0,0,3,3,1,9.0,9.0,0.2%,NE,11,2021
14,Harrison Butker,2,3,66.7,53,0,0,1,0,1,1,2,1,9.0,9.0,98.8%,KC,11,2021
15,Mason Crosby,1,2,50.0,54,0,0,0,0,1,4,4,1,9.0,9.0,0.1%,FA,11,2021
16,Daniel Carlson,2,2,100.0,47,0,1,0,1,0,1,1,1,8.0,8.0,9.8%,LV,11,2021
17,Jason Myers,2,2,100.0,27,0,2,0,0,0,1,1,1,7.0,7.0,8.8%,SEA,11,2021
18,Matt Prater,1,3,33.3,53,0,0,0,0,1,2,3,1,7.0,7.0,3.7%,ARI,11,2021
19,Jason Sanders,1,2,50.0,24,0,1,0,0,0,3,3,1,6.0,6.0,49.7%,MIA,11,2021
20,Matt Ammendola,1,3,33.3,35,0,0,1,0,0,2,2,1,5.0,5.0,2.0%,FA,11,2021
21,Brett Maher,1,1,100.0,28,0,1,0,0,0,2,3,1,5.0,5.0,0.0%,FA,11,2021
22,Aldrick Rosas,1,1,100.0,43,0,0,0,1,0,1,1,1,5.0,5.0,0.0%,FA,11,2021
23,Graham Gano,1,1,100.0,37,0,0,1,0,0,1,1,1,4.0,4.0,1.0%,NYG,11,2021
24,Matthew Wright,1,1,100.0,30,0,0,1,0,0,1,1,1,4.0,4.0,0.0%,FA,11,2021
25,Zane Gonzalez,0,0,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,0.1%,FA,11,2021
26,Tyler Bass,0,2,0.0,0,0,0,0,0,0,1,1,1,1.0,1.0,40.1%,BUF,11,2021
27,Randy Bullock,0,0,0.0,0,0,0,0,0,0,1,2,1,1.0,1.0,0.0%,FA,11,2021
28,Cairo Santos,0,1,0.0,0,0,0,0,0,0,1,1,1,1.0,1.0,28.4%,CHI,11,2021
29,Chase McLaughlin,0,1,0.0,0,0,0,0,0,0,1,2,1,1.0,1.0,3.7%,TB,11,2021
30,Younghoe Koo,0,1,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,79.8%,ATL,11,2021
31,Michael Palardy,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,33.3%,FA,11,2021
32,Ty Long,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.7%,FA,11,2021
