Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Matt Gay,3,3,100.0,55,0,0,1,0,2,6,6,1,19.0,19.0,30.7%,IND,16,2022
2,Brett Maher,4,4,100.0,48,0,2,0,2,0,4,4,1,18.0,18.0,0.0%,FA,16,2022
3,Riley Patterson,4,5,80.0,45,0,0,2,2,0,1,1,1,15.0,15.0,0.1%,FA,16,2022
4,Mason Crosby,4,4,100.0,46,0,2,1,1,0,2,2,1,15.0,15.0,0.1%,FA,16,2022
5,Ryan Succop,4,4,100.0,42,0,0,2,2,0,1,1,1,15.0,15.0,0.0%,FA,16,2022
6,Matt Prater,3,3,100.0,56,0,0,1,0,2,1,1,1,14.0,14.0,3.7%,ARI,16,2022
7,Eddy Pineiro,3,3,100.0,40,0,0,2,1,0,4,4,1,14.0,14.0,2.8%,CAR,16,2022
8,Graham Gano,3,3,100.0,55,0,0,0,2,1,1,1,1,14.0,14.0,1.0%,NYG,16,2022
9,Robbie Gould,3,3,100.0,35,0,2,1,0,0,4,4,1,13.0,13.0,0.1%,FA,16,2022
10,Greg Joseph,2,2,100.0,61,0,0,0,1,1,3,3,1,12.0,12.0,0.1%,FA,16,2022
11,Jake Elliott,2,2,100.0,47,0,1,0,1,0,4,4,1,11.0,11.0,95.3%,PHI,16,2022
12,Younghoe Koo,3,3,100.0,37,0,0,3,0,0,0,0,1,9.0,9.0,79.8%,ATL,16,2022
13,Justin Tucker,3,4,75.0,27,0,3,0,0,0,0,0,1,9.0,9.0,99.8%,BAL,16,2022
14,Jason Sanders,2,3,66.7,46,0,0,1,1,0,2,2,1,9.0,9.0,49.7%,MIA,16,2022
15,Brandon McManus,2,2,100.0,54,0,0,0,1,1,0,0,1,9.0,9.0,0.1%,FA,16,2022
16,Chris Boswell,2,4,50.0,44,0,0,0,2,0,1,1,1,9.0,9.0,4.4%,PIT,16,2022
17,Cameron Dicker,2,2,100.0,24,0,2,0,0,0,2,2,1,8.0,8.0,51.9%,LAC,16,2022
18,Cairo Santos,2,2,100.0,37,0,0,2,0,0,1,1,1,7.0,7.0,28.4%,CHI,16,2022
19,Ka'imi Fairbairn,2,2,100.0,25,0,2,0,0,0,1,1,1,7.0,7.0,89.8%,HOU,16,2022
20,Harrison Butker,1,1,100.0,47,0,0,0,1,0,3,3,1,7.0,7.0,98.8%,KC,16,2022
21,Michael Badgley,1,1,100.0,34,0,0,1,0,0,2,2,1,5.0,5.0,1.1%,DET,16,2022
22,Wil Lutz,1,1,100.0,23,0,1,0,0,0,2,2,1,5.0,5.0,1.5%,DEN,16,2022
23,Daniel Carlson,1,1,100.0,40,0,0,0,1,0,1,1,1,5.0,5.0,9.8%,LV,16,2022
24,Cade York,1,1,100.0,30,0,0,1,0,0,1,1,1,4.0,4.0,0.2%,WAS,16,2022
25,Chase McLaughlin,1,1,100.0,46,0,0,0,1,0,0,0,1,4.0,4.0,3.7%,TB,16,2022
26,Evan McPherson,1,2,50.0,28,0,1,0,0,0,1,2,1,4.0,4.0,88.7%,CIN,16,2022
27,Jason Myers,1,1,100.0,22,0,1,0,0,0,1,1,1,4.0,4.0,8.8%,SEA,16,2022
28,Greg Zuerlein,1,1,100.0,37,0,0,1,0,0,0,0,1,3.0,3.0,52.1%,NYJ,16,2022
29,Tyler Bass,0,1,0.0,0,0,0,0,0,0,3,4,1,3.0,3.0,40.1%,BUF,16,2022
30,Joey Slye,0,0,0.0,0,0,0,0,0,0,2,2,1,2.0,2.0,0.2%,NE,16,2022
31,Randy Bullock,0,0,0.0,0,0,0,0,0,0,2,2,1,2.0,2.0,0.0%,FA,16,2022
32,Tristan Vizcaino,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,16,2022
33,Nick Folk,0,0,0.0,0,0,0,0,0,0,0,2,1,0.0,0.0,2.5%,TEN,16,2022
34,Michael Palardy,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,33.3%,FA,16,2022
