Rank,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Maxx Crosby,5,1,2.0,0,0,1,0,0,1,25.3,25.3,73.0%,LV,11,2022
2,Chris Jones,5,0,2.0,0,0,0,0,0,1,23.0,23.0,11.9%,KC,11,2022
3,Dorance Armstrong Jr.,3,0,2.0,0,0,0,1,0,1,21.5,21.5,0.9%,WAS,11,2022
4,Trey Hendrickson,4,1,2.0,1,0,0,0,0,1,21.3,21.3,22.8%,CIN,11,2022
5,Jonathan Allen,3,0,2.0,0,0,0,0,0,1,20.0,20.0,6.1%,WAS,11,2022
6,Jason Pierre-Paul,2,0,1.0,1,1,0,0,0,1,18.5,18.5,0.0%,FA,11,2022
7,Mike Danna,3,1,2.0,0,0,0,0,0,1,18.3,18.3,1.3%,KC,11,2022
8,Montez Sweat,3,0,2.0,0,0,0,0,0,1,17.5,17.5,22.6%,CHI,11,2022
9,Arnold Ebiketie,5,1,1.0,0,0,0,0,0,1,17.3,17.3,0.7%,ATL,11,2022
10,Cameron Heyward,4,3,1.0,0,0,0,0,0,1,17.3,17.3,8.3%,PIT,11,2022
11,Alim McNeill,3,1,1.0,0,0,0,0,0,1,16.8,16.8,1.0%,DET,11,2022
12,Greg Gaines,2,0,2.0,0,0,0,0,0,1,16.0,16.0,0.1%,TB,11,2022
13,Carl Granderson,3,4,1.5,0,0,0,0,0,1,16.0,16.0,8.4%,NO,11,2022
14,Deatrich Wise Jr.,2,3,1.0,1,0,0,0,0,1,15.8,15.8,0.7%,NE,11,2022
15,John Cominsky,3,0,1.0,1,0,0,0,0,1,15.0,15.0,0.1%,DET,11,2022
16,Brian Burns,2,3,1.0,0,0,0,0,0,1,14.3,14.3,24.4%,NYG,11,2022
17,Yannick Ngakoue,2,1,1.5,0,0,1,0,0,1,13.8,13.8,1.6%,FA,11,2022
18,Milton Williams,2,2,1.0,0,0,0,0,0,1,13.5,13.5,0.3%,PHI,11,2022
19,Aidan Hutchinson,1,2,0.0,1,1,0,1,0,1,13.5,13.5,46.8%,DET,11,2022
20,Ed Oliver,3,2,0.0,0,0,0,0,0,1,13.5,13.5,8.6%,BUF,11,2022
21,Quinnen Williams,3,2,1.0,0,0,0,0,0,1,12.5,12.5,11.6%,NYJ,11,2022
