Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS.1,Y/R,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Derrick Henry,22,212,9.6,94,2,2,2,5,52,26.0,0,0,1,40.4,40.4,99.9%,BAL,6,2020
2,Kenyan Drake,20,164,8.2,69,3,2,0,2,0,0.0,0,0,1,28.4,28.4,0.0%,FA,6,2020
3,D'Andre Swift,14,116,8.3,54,1,2,3,4,7,2.3,0,0,1,27.3,27.3,94.7%,CHI,6,2020
4,Ronald Jones II,23,113,4.9,25,1,2,2,2,8,4.0,0,0,1,26.1,26.1,0.0%,FA,6,2020
5,Clyde Edwards-Helaire,26,161,6.2,31,1,0,4,4,8,2.0,0,0,1,20.9,20.9,7.3%,KC,6,2020
6,James Conner,20,101,5.1,14,0,1,1,1,1,1.0,0,0,1,17.2,17.2,94.4%,ARI,6,2020
7,Myles Gaskin,18,91,5.1,15,0,0,4,4,35,8.8,0,0,1,16.6,16.6,0.0%,MIN,6,2020
8,Jonathan Taylor,12,60,5.0,21,1,0,4,4,55,13.8,0,0,1,15.5,15.5,99.9%,IND,6,2020
9,James White,4,8,2.0,3,0,0,8,9,65,8.1,0,0,1,15.3,15.3,0.1%,FA,6,2020
10,James Robinson,12,29,2.4,8,0,0,4,4,24,6.0,1,0,1,15.3,15.3,0.0%,FA,6,2020
11,Joe Mixon,18,54,3.0,9,0,1,2,3,15,7.5,0,0,1,14.9,14.9,99.1%,HOU,6,2020
12,J.D. McKissic,8,41,5.1,14,0,0,6,6,43,7.2,0,0,1,14.4,14.4,0.0%,FA,6,2020
13,David Johnson,19,57,3.0,11,0,1,1,2,12,12.0,0,0,1,13.9,13.9,0.0%,FA,6,2020
14,David Montgomery,19,58,3.1,12,0,0,4,5,39,9.8,0,0,1,13.7,13.7,95.7%,DET,6,2020
15,Aaron Jones,10,15,1.5,7,0,1,3,5,26,8.7,0,0,1,13.1,13.1,96.1%,MIN,6,2020
16,Adrian Peterson,15,40,2.7,8,0,1,1,1,18,18.0,0,0,1,12.8,12.8,2.4%,FA,6,2020
17,Miles Sanders,9,118,13.1,74,2,0,1,2,-6,-6.0,0,0,1,12.2,12.2,8.5%,CAR,6,2020
18,Ezekiel Elliott,12,49,4.1,11,0,0,8,10,31,3.9,0,2,1,12.0,12.0,81.8%,DAL,6,2020
19,Giovani Bernard,8,15,1.9,9,0,1,3,3,13,4.3,0,0,1,11.8,11.8,0.0%,FA,6,2020
20,Mike Davis,18,52,2.9,12,0,1,2,3,3,1.5,0,1,1,11.5,11.5,1.0%,FA,6,2020
21,Darrel Williams,6,26,4.3,13,0,1,1,1,15,15.0,0,0,1,11.1,11.1,0.0%,FA,6,2020
22,Frank Gore,11,46,4.2,14,0,0,4,4,24,6.0,0,0,1,11.0,11.0,12.1%,FA,6,2020
23,Phillip Lindsay,23,101,4.4,20,1,0,0,0,0,0.0,0,0,1,10.1,10.1,0.0%,FA,6,2020
24,Todd Gurley II,20,47,2.4,9,0,0,3,4,20,6.7,0,0,1,9.7,9.7,0.1%,FA,6,2020
